Plot,Event,Temperature_C,Wind,Precip,Percent_Cloud,Noise,ObservationNumber,Interval,AOUCode,Distance,DetectionType,Sex,Age,FlockSize,IsPreviousPlot,IsFlyover,Comments
WICR1,WICRTweety2008May200609AM,15,0,0,30,1,1,0-3 min,NOBO,63,4,Male,Adult,1,0,0,NULL
WICR1,WICRTweety2008May200609AM,15,0,0,30,1,2,0-3 min,CACH,21,1,Male,Adult,1,0,0,NULL
WICR1,WICRTweety2008May200609AM,15,0,0,30,1,3,0-3 min,EAME,169,2,Male,Adult,1,0,0,NULL
WICR1,WICRTweety2008May200609AM,15,0,0,30,1,4,0-3 min,CARW,37,1,Male,Adult,1,0,0,NULL
WICR1,WICRTweety2008May200609AM,15,0,0,30,1,5,0-3 min,BRTH,59,2,Male,Adult,1,0,0,NULL
WICR1,WICRTweety2008May200609AM,15,0,0,30,1,6,0-3 min,INBU,18,1,Male,Adult,1,0,0,NULL
WICR1,WICRTweety2008May200609AM,15,0,0,30,1,7,>3-5 min,BLJA,84,2,Male,Adult,1,0,0,NULL
WICR1,WICRTweety2008May200609AM,15,0,0,30,1,8,>3-5 min,BLJA,66,2,Male,Adult,1,0,0,NULL
WICR1,WICRTweety2009May270755AM,15,1,0,60,2,1,Missing Value,NOCA,20,1,Male,Unknown,1,0,0,NULL
WICR1,WICRTweety2009May270755AM,15,1,0,60,2,2,Missing Value,NOMO,30,1,Male,Unknown,1,0,0,NULL
WICR1,WICRTweety2009May270755AM,15,1,0,60,2,3,Missing Value,CHSP,20,1,Male,Unknown,1,0,0,NULL
WICR1,WICRTweety2009May270755AM,15,1,0,60,2,4,Missing Value,BLJA,20,1,Male,Unknown,1,0,0,NULL
WICR1,WICRTweety2009May270755AM,15,1,0,60,2,5,Missing Value,EABL,40,1,Male,Unknown,1,0,0,NULL
WICR1,WICRTweety2009May270755AM,15,1,0,60,2,6,Missing Value,EABL,30,1,Male,Unknown,1,0,0,NULL
WICR1,WICRTweety2009May270755AM,15,1,0,60,2,7,Missing Value,HOWR,20,1,Male,Unknown,1,0,0,NULL
WICR1,WICRTweety2009May270755AM,15,1,0,60,2,8,Missing Value,EAWP,40,1,Male,Unknown,1,0,0,NULL
WICR1,WICRTweety2009May270755AM,15,1,0,60,2,9,Missing Value,MODO,20,2,Unk,Unknown,1,0,0,NULL
WICR1,WICRTweety2009May270755AM,15,1,0,60,2,10,Missing Value,EUST,-9999,2,Unk,Unknown,2,0,0,NULL
WICR1,WICRTweety2009May270755AM,15,1,0,60,2,11,Missing Value,BLJA,20,1,Male,Unknown,1,0,0,NULL
WICR1,WICRTweety2009May270755AM,15,1,0,60,2,12,Missing Value,AMRO,30,1,Male,Unknown,1,0,0,NULL
WICR1,WICRTweety2009May270755AM,15,1,0,60,2,13,Missing Value,EAKI,5,2,Unk,Unknown,1,0,0,NULL
WICR1,WICRTweety2009May270755AM,15,1,0,60,2,14,Missing Value,FISP,30,2,Unk,Unknown,1,0,0,NULL
WICR1,WICRTweety2009May270755AM,15,1,0,60,2,15,Missing Value,EAME,40,1,Male,Unknown,1,0,0,NULL
WICR1,WICRTweety2009May270755AM,15,1,0,60,2,16,Missing Value,PIWO,-9999,2,Unk,Unknown,1,0,1,NULL
WICR1,WICRTweety2009May270755AM,15,1,0,60,2,17,Missing Value,SWHA,-9999,U,Unk,Unknown,1,0,1,NULL
WICR1,WICRTweety2010Jun070655AM,23,1,0,90,2,1,0-3 min,AMRO,30,1,Unk,Unknown,1,0,0,NULL
WICR1,WICRTweety2010Jun070655AM,23,1,0,90,2,2,0-3 min,CACH,30,1,Unk,Adult,1,0,0,NULL
WICR1,WICRTweety2010Jun070655AM,23,1,0,90,2,3,0-3 min,CACH,30,1,Unk,Immature,1,0,0,NULL
WICR1,WICRTweety2010Jun070655AM,23,1,0,90,2,4,>5 min,COGR,-9999,9,Unk,Unknown,6,0,0,NULL
WICR1,WICRTweety2010Jun070655AM,23,1,0,90,2,5,>5 min,COGR,-9999,9,Unk,Unknown,180,0,1,NULL
WICR1,WICRTweety2010Jun070655AM,23,1,0,90,2,6,0-3 min,RBWO,90,2,Unk,Unknown,1,0,0,NULL
WICR1,WICRTweety2010Jun070655AM,23,1,0,90,2,7,0-3 min,EAME,100,1,Unk,Unknown,1,0,0,NULL
WICR1,WICRTweety2010Jun070655AM,23,1,0,90,2,8,0-3 min,CACH,80,1,Unk,Unknown,1,0,0,NULL
WICR1,WICRTweety2010Jun070655AM,23,1,0,90,2,9,>3-5 min,AMRO,40,2,Unk,Unknown,1,0,0,NULL
WICR1,WICRTweety2010Jun070655AM,23,1,0,90,2,10,>3-5 min,CACH,90,1,Unk,Unknown,1,0,0,NULL
WICR1,WICRTweety2010Jun070655AM,23,1,0,90,2,11,>3-5 min,BHCO,60,1,Unk,Unknown,1,0,0,NULL
WICR1,WICRTweety2010Jun070655AM,23,1,0,90,2,12,>3-5 min,BHCO,80,1,Unk,Unknown,1,0,0,NULL
WICR1,WICRTweety2010Jun070655AM,23,1,0,90,2,13,>3-5 min,CARW,90,1,Unk,Unknown,1,0,0,NULL
WICR1,WICRTweety2010Jun070655AM,23,1,0,90,2,14,>3-5 min,BARS,20,1,Unk,Unknown,1,0,0,NULL
WICR1,WICRTweety2010Jun070655AM,23,1,0,90,2,15,>3-5 min,TUTI,120,1,Unk,Unknown,1,0,0,NULL
WICR1,WICRTweety2011Jun020800AM,24,2,0,0,0,1,0-3 min,CHSP,10,U,Unk,Adult,2,0,0,NULL
WICR1,WICRTweety2011Jun020800AM,24,2,0,0,0,2,0-3 min,AMRO,20,U,Unk,Adult,1,0,0,NULL
